seed,problem,algorithm,n_eval,n_gen,best
0,ackley,de,100,1,12.438739027373735
0,ackley,de,200,2,11.105026155352904
0,ackley,de,300,3,5.578660174475882
0,ackley,de,400,4,5.578660174475882
0,ackley,de,500,5,5.424948861865165
0,g1,de,100,1,
0,g1,de,200,2,
0,g1,de,300,3,
0,g1,de,400,4,
0,g1,de,500,5,
0,g2,de,100,1,-0.15416967460803963
0,g2,de,200,2,-0.1589433051258004
0,g2,de,300,3,-0.18540441104458094
0,g2,de,400,4,-0.18831313271545952
0,g2,de,500,5,-0.20909511451890742
0,g3,de,100,1,
0,g3,de,200,2,
0,g3,de,300,3,
0,g3,de,400,4,
0,g3,de,500,5,
0,g4,de,100,1,-29331.173032783357
0,g4,de,200,2,-29374.790997397908
0,g4,de,300,3,-29533.936349008658
0,g4,de,400,4,-29533.936349008658
0,g4,de,500,5,-29533.936349008658
0,g5,de,100,1,
0,g5,de,200,2,
0,g5,de,300,3,
0,g5,de,400,4,
0,g5,de,500,5,
0,g6,de,100,1,
0,g6,de,200,2,
0,g6,de,300,3,
0,g6,de,400,4,
0,g6,de,500,5,
0,g7,de,100,1,
0,g7,de,200,2,
0,g7,de,300,3,
0,g7,de,400,4,
0,g7,de,500,5,
0,g8,de,100,1,
0,g8,de,200,2,-0.00756068584732942
0,g8,de,300,3,-0.02868406660118299
0,g8,de,400,4,-0.02868406660118299
0,g8,de,500,5,-0.02868406660118299
0,g9,de,100,1,7917676.534885023
0,g9,de,200,2,7917676.534885023
0,g9,de,300,3,5454463.842027945
0,g9,de,400,4,289306.3999656865
0,g9,de,500,5,289306.3999656865
0,g10,de,100,1,
0,g10,de,200,2,
0,g10,de,300,3,
0,g10,de,400,4,
0,g10,de,500,5,
0,g11,de,100,1,0.8641722770126595
0,g11,de,200,2,0.8189370153558814
0,g11,de,300,3,0.7802328209627195
0,g11,de,400,4,0.7802328209627195
0,g11,de,500,5,0.7667029635296181
0,g12,de,100,1,-0.8700857130896005
0,g12,de,200,2,-0.8700857130896005
0,g12,de,300,3,-0.9512406489973172
0,g12,de,400,4,-0.991164707649983
0,g12,de,500,5,-0.991164707649983
0,g13,de,100,1,
0,g13,de,200,2,
0,g13,de,300,3,
0,g13,de,400,4,
0,g13,de,500,5,
0,g14,de,100,1,
0,g14,de,200,2,
0,g14,de,300,3,
0,g14,de,400,4,
0,g14,de,500,5,
0,g15,de,100,1,
0,g15,de,200,2,
0,g15,de,300,3,
0,g15,de,400,4,
0,g15,de,500,5,
0,g16,de,100,1,
0,g16,de,200,2,
0,g16,de,300,3,-1.0824798333220693
0,g16,de,400,4,-1.5767490039760794
0,g16,de,500,5,-1.5767490039760794
0,g17,de,100,1,
0,g17,de,200,2,
0,g17,de,300,3,
0,g17,de,400,4,
0,g17,de,500,5,
0,g18,de,100,1,
0,g18,de,200,2,
0,g18,de,300,3,
0,g18,de,400,4,
0,g18,de,500,5,
0,g19,de,100,1,5828.097564710536
0,g19,de,200,2,5622.995501238067
0,g19,de,300,3,4800.322157250672
0,g19,de,400,4,1646.6725525411791
0,g19,de,500,5,1646.6725525411791
0,g20,de,100,1,
0,g20,de,200,2,
0,g20,de,300,3,
0,g20,de,400,4,
0,g20,de,500,5,
0,g21,de,100,1,
0,g21,de,200,2,
0,g21,de,300,3,
0,g21,de,400,4,
0,g21,de,500,5,
0,g22,de,100,1,
0,g22,de,200,2,
0,g22,de,300,3,
0,g22,de,400,4,
0,g22,de,500,5,
0,g23,de,100,1,
0,g23,de,200,2,
0,g23,de,300,3,
0,g23,de,400,4,
0,g23,de,500,5,
0,g24,de,100,1,-4.698359830633406
0,g24,de,200,2,-4.859243981916377
0,g24,de,300,3,-5.264248695320822
0,g24,de,400,4,-5.264248695320822
0,g24,de,500,5,-5.264248695320822
0,cantilevered_beam,de,100,1,214.87777592501834
0,cantilevered_beam,de,200,2,178.2984294892923
0,cantilevered_beam,de,300,3,153.433132079232
0,cantilevered_beam,de,400,4,125.79812660564592
0,cantilevered_beam,de,500,5,111.80862815499603
0,griewank,de,100,1,3.4143660726224696
0,griewank,de,200,2,1.7517795438674755
0,griewank,de,300,3,0.30547265794697687
0,griewank,de,400,4,0.30547265794697687
0,griewank,de,500,5,0.30547265794697687
0,himmelblau,de,100,1,1.0828344497881812
0,himmelblau,de,200,2,1.0828344497881812
0,himmelblau,de,300,3,1.0828344497881812
0,himmelblau,de,400,4,0.754158884647783
0,himmelblau,de,500,5,0.6714165596950957
0,soo_rnd_knp,de,100,1,-71.88039511660799
0,soo_rnd_knp,de,200,2,-71.88039511660799
0,soo_rnd_knp,de,300,3,-71.88039511660799
0,soo_rnd_knp,de,400,4,-80.26585196330329
0,soo_rnd_knp,de,500,5,-80.26585196330329
0,pressure_vessel,de,100,1,13213.027621456504
0,pressure_vessel,de,200,2,13213.027621456504
0,pressure_vessel,de,300,3,13213.027621456504
0,pressure_vessel,de,400,4,13213.027621456504
0,pressure_vessel,de,500,5,13213.027621456504
0,rastrigin,de,100,1,8.217120129600609
0,rastrigin,de,200,2,2.5481834130611993
0,rastrigin,de,300,3,1.035289754314313
0,rastrigin,de,400,4,1.035289754314313
0,rastrigin,de,500,5,0.46511530590761296
0,rosenbrock,de,100,1,0.3397824605387797
0,rosenbrock,de,200,2,0.060439302734008674
0,rosenbrock,de,300,3,0.060439302734008674
0,rosenbrock,de,400,4,0.060439302734008674
0,rosenbrock,de,500,5,0.060439302734008674
0,schwefel,de,100,1,202.38666427721705
0,schwefel,de,200,2,165.8415588165426
0,schwefel,de,300,3,93.51638196462432
0,schwefel,de,400,4,79.19810011091465
0,schwefel,de,500,5,5.461742817670711
0,sphere,de,100,1,0.1930886838051295
0,sphere,de,200,2,0.1930886838051295
0,sphere,de,300,3,0.19246277840237225
0,sphere,de,400,4,0.19246277840237225
0,sphere,de,500,5,0.1549359557697677
0,zakharov,de,100,1,3.8321732111533597
0,zakharov,de,200,2,2.2993214221222216
0,zakharov,de,300,3,1.8182547091242105
0,zakharov,de,400,4,0.2823729003278194
0,zakharov,de,500,5,0.25721412953252254
